name,category
华为Mate60,手机
小米米家扫地机器人,家居用品
联想小新Air 14,笔记本电脑
苹果iPad Pro 12.9,平板电脑
九阳豆浆机DJ13B-D08SG,家居用品
华为MateBook 14,笔记本电脑
美的空气净化器KJ300F-PD01,家居用品
华为Watch GT 3,智能手表
星巴克咖啡豆礼盒装,咖啡
阿迪达斯Ultra Boost 21,运动鞋
松下微单相机Lumix GH5,相机
华为FreeBuds Pro,无线耳机
苹果MacBook Air M2,笔记本电脑
小米米家智能门锁,家居用品
长城葡萄酒庄红酒礼盒,红酒
戴森V11 Absolute 无线吸尘器,家居用品
荣耀MagicBook Pro,笔记本电脑
新秀丽行李箱,旅行箱包
海尔冰箱BCD-570WDPG,家居用品
斐讯K2 Pro路由器,网络设备
Adidas Superstar经典复古板鞋,休闲鞋
索尼WH-CH510蓝牙耳机,耳机
华为Nova 8,手机
联想Legion Y740,笔记本电脑
小米米家智能摄像机,智能安防
苹果AirPods Pro,无线耳机
佳能EOS R6,相机
潘多拉经典款手链,珠宝首饰
宜家Malm系列床架,家居用品
三星Galaxy Buds Pro,无线耳机
华为Mate40,手机
安德玛Ultraboost 5.0,运动鞋
索尼A7 III,相机
小米米家智能台灯,家居用品
联想ThinkPad X1 Carbon,笔记本电脑
Beats Solo Pro无线降噪耳机,无线耳机
三星Galaxy Tab S7,平板电脑
华为P50 Pro,手机
小米米家智能空气净化器,家居用品
戴尔XPS 13,笔记本电脑
JBL Charge 5便携式蓝牙音箱,音响
新秀丽经典款手提包,旅行箱包
LG OLED CX系列55英寸电视,家电
华硕ROG Strix G15,笔记本电脑
雷蛇DeathAdder Elite 游戏鼠标,游戏设备
博朗Series 9电动剃须刀,个护健康
耐克Air Max 270,运动鞋
小米米家智能体重秤,个护健康
珂兰KFR-35GW/FC-3壁挂式空调,家电
雷朋Wayfarer经典太阳镜,防晒眼镜
华为WiFi AX3路由器,网络设备
艾琳格宝石系列项链,珠宝首饰
惠普DeskJet 2755多功能打印机,办公设备
斐讯N1 Mesh WiFi系统,网络设备
剃啤T2全自动咖啡机,咖啡
雷柏V500有线机械键盘,游戏设备
佳能PowerShot G7 X Mark III,相机
斯科奇Xbox Series X 游戏机,游戏设备
小米米家智能门窗传感器,智能家居
衣物清洁剂,洗涤用品
洗手液,个护健康
洗碗液,洗涤用品
地板清洁剂,家居用品
咖啡豆,咖啡
巧克力,零食
